excel_name,excel_price,closest_deliv,score
طماطم الجيرواز 135 غ,"60,00",طماطم الجيرواز,0.67
طماطم الزهرة 400 غ,"165,00",طماطم الزهره,0.67
طماطم هلو 400 غ,"165,00",طماطم هلو,0.67
طماطم عمور 400 غ,"175,00",طماطم عمور,0.67
طماطم كينغ توم 400 غ,"175,00",طماطم كينغ توم,0.75
طماطم الحارة 400 غ,"175,00",طماطم الحاره,0.67
هريسة هروس 135 غ,"80,00",هريسه هروس,0.67
قهوة بونال اربيكا 800 غ,"850,00",قهوه بونال اربيكا,0.75
قهوة بونال ربيستا 800 غ,"650,00",قهوه بونال ربيستا,0.75
هريسة ملتهب 500 مل,"130,00",هريسه ملتهب,0.5
حليب ميلكوسبراي 500 غ,"435,00",حليب ميلكوسبراي,0.67
حليب ميلغرو 500 غ,"480,00",حليب ميلغرو,0.67
حليب موندور 500 غ,"350,00",حليب موندور,0.67
حليب لويا 500 غ,"600,00",حليب لويا,0.67
حليب بريزيما 500 غ,"485,00",حليب بريزيما,0.67
قهوة قوسطو 250 غ,"250,00",قهوه قوسطو,0.67
قهوة اروما 250 غ,"250,00",قهوه اروما غولد,0.67
قهوة 1001 غولد 250 غ,"330,00",قهوه 1001 غولد,0.75
قهوة دوزيا 250 غ,"250,00",قهوه دوزيا,0.67
قهوة فاميكو 250 غ,"250,00",قهوه فاميكو,0.67
قهوة 1001 عادي 250 غ,"250,00",قهوه 1001 عادي,0.75
خميرو باكمايا 500 غ,"350,00",خميرو باكمايا,0.67
حميرة باكمايا 125 غ,"150,00",حميره باكمايا,0.67
خميرة صاف  500 غ,"400,00",خميره صاف,0.67
خميرة فيغا 500 غ,"340,00",خميره فيغا,0.67
حليب ميلكوسبراي 125 غ,"140,00",حليب ميلكوسبراي,0.67
هريسة هروس 400 غ,"170,00",هريسه هروس,0.67
طماطم الحارة 800 غ,"310,00",طماطم الحاره,0.67
طماطم عمور 800غ,"310,00",طماطم عمور,0.67
طماطم كينغ توم 800غ,"310,00",طماطم كينغ توم,0.75
طماطم افريل 800 غ,"300,00",طماطم افريل,0.67
طماطم سيم 28 %  800 غ,"280,00",طماطم سيم 28 %,0.75
سكر 1 كغ,"95,00",سكر قلاصي,0.5
زيت اليو 5 لتر,"650,00",زيت اليو,0.67
زيت اليو 1 لتر,"125,00",زيت اليو,0.67
زيت اليو 2 لتر,"250,00",زيت اليو,0.67
ملح 1 كغ,"40,00",ملح,0.5
قهوة اروما غولد 250 غ,"330,00",قهوه اروما غولد,0.75
ثوم مرحي جواد 400 غ,"130,00",ثوم مرحي جواد,0.75
عطر فانيلا 60 غ,"60,00",عطر فانيلا,0.67
حمص ويدو 580 غ,"210,00",حمص ويدو,0.67
حمص ويدو 370 غ,"160,00",حمص ويدو,0.67
جلبانة ويدو 390 غ,"110,00",جلبانه ويدو,0.67
ذرة حلوة 210 غ,"220,00",ذره حلوه,0.67
فطر فيتر شرائح 500 غ,"430,00",فطر فيتر شرايح,0.75
فطر فيتر كامل 380 غ,"300,00",فطر فيتر كامل,0.75
فطر موندور كامل 280 غ,"270,00",فطر موندور كامل,0.75
فطر موندور شرائح 280 غ,"210,00",فطر موندور شرايح,0.75
مايوناز لسيور 475 غ,"360,00",مايوناز لسيور بلاستيك,0.67
مايوناز لسيور 235 غ,"210,00",مايوناز لسيور بلاستيك,0.67
مايوناز لسيور بلاستيك 425 غ,"360,00",مايوناز لسيور بلاستيك,0.75
مايوناز لسيور بلاستيك 220 غ,"220,00",مايوناز لسيور بلاستيك,0.75
لانشو بلاط دجاج 250 غ,"440,00",لانشو بلاط دجاج,0.75
طون ماراطون 65 غ,"110,00",طون ماراطون,0.67
طون ريكامار 65 غ,"110,00",طون ريكامار,0.67
طون عافية 65 غ,"100,00",طون عافيه,0.67
طون مارطون 160 غ,"250,00",طون مارطون,0.67
طون عادي 65 غ,"70,00",طون عادي,0.67
ارز بسمتس الوسام 500 غ,"220,00",ارز بسمتس الوسام,0.75
سباغيتي اغروديف 500 غ,"65,00",سباغيتي اغروديف,0.67
سباغيتي سيم 500 غ,"70,00",سباغيتي سيم,0.67
محمصة عمر بن عمر 500 غ,"70,00",محمصه عمر بن عمر,0.75
ماقرون عمر بن عمر كود 6 500غ,"70,00",ماقرون عمر بن عمر كود 6,0.8
ماقرون عمر بن عمر 500 غ,"70,00",ماقرون عمر بن عمر,0.75
شربة زريعة عمر بن عمر 500 غ,"70,00",شربه زريعه عمر بن عمر,0.8
شربة فارميسال 500 غ,"70,00",شربه فارميسال سيم,0.67
دهان بوقال 700 غ,"400,00",دهان بوقال,0.67
دهان بوقال 1.4 كغ,"710,00",دهان بوقال,0.67
دهان الوليمة 900 غ,"460,00",دهان الوليمه,0.67
دهان الوليمة 700 غ,"400,00",دهان الوليمه,0.67
دهان الوليمة 1.7 كغ,"800,00",دهان الوليمه,0.67
دهان رواية 800 غ,"540,00",دهان روايه,0.67
دهان المدينة 1.8 كغ,"820,00",دهان المدينه,0.67
دهان نحول 2 كغ,"910,00",دهان نحول,0.67
