excel_name,excel_price,deliv_name,problem
كوش بمبيز حجم صغير 2,"260,00",كوش بمبيز حجم صغير,Excel بلا حجم وDeliv عندها حجم=6L
كوش بمبيز حجم صغير 3,"260,00",كوش بمبيز حجم صغير,Excel بلا حجم وDeliv عندها حجم=6L
كوش بميز حجم صغير 5,"260,00",كوش بميز حجم صغير,Excel بلا حجم وDeliv عندها حجم=5L
كوش بمبيز حجم صغير 6,"330,00",كوش بمبيز حجم صغير,Excel بلا حجم وDeliv عندها حجم=6L
كوش كومبيي حجم صغير 5,"250,00",كوش كومبيي حجم صغير,Excel بلا حجم وDeliv عندها حجم=5L
كونبيبي حجم صغير رقم 4,"250,00",كونبيبي حجم صغير رقم,Excel بلا حجم وDeliv عندها حجم=6L
كونبيبي حجم صغير رقم 3,"250,00",كونبيبي حجم صغير رقم,Excel بلا حجم وDeliv عندها حجم=6L
كونبيبي حجم صغير رقم 2,"250,00",كونبيبي حجم صغير رقم,Excel بلا حجم وDeliv عندها حجم=6L
كونبيبي حجم صغير رقم 1,"250,00",كونبيبي حجم صغير رقم,Excel بلا حجم وDeliv عندها حجم=6L
كونبيبي حجم صغير رقم 6,"330,00",كونبيبي حجم صغير رقم,Excel بلا حجم وDeliv عندها حجم=6L
جافيل تست,"80,00",جافيل تست,Excel بلا حجم وDeliv عندها حجم=2L
ياغورت سيريالو,"30,00",ياغورت سيريالو,Excel بلا حجم وDeliv عندها حجم=1L
ياغورت ترته,"30,00",ياغورت ترته,Excel بلا حجم وDeliv عندها حجم=1L
فرماج شيزي 24 قطعة,"270,00",فرماج شيزي,Excel بلا حجم وDeliv عندها حجم=8L
فرماج شيزي 16 قطعة,"185,00",فرماج شيزي,Excel بلا حجم وDeliv عندها حجم=8L
وفاء برومو اكستر 2,"185,00",وفاء برومو اكستر,Excel بلا حجم وDeliv عندها حجم=2L
وفاء كلاسيكو الوان 2,"160,00",وفاء كلاسيكو الوان,Excel بلا حجم وDeliv عندها حجم=4L
وفاء كلاسيكو  الوان 4,"250,00",وفاء كلاسيكو الوان,Excel بلا حجم وDeliv عندها حجم=4L
بابي ليلا اكسترا 2,"150,00",بابي ليلا اكسترا,Excel بلا حجم وDeliv عندها حجم=2L
ماء بوقلاز 1.5,"50,00",ماء بوقلاز,Excel بلا حجم وDeliv عندها حجم=1.5L
ماء مسعد 1.5,"40,00",ماء مسعد,Excel بلا حجم وDeliv عندها حجم=5.5L
ماء مسعد 5.5,"90,00",ماء مسعد,Excel بلا حجم وDeliv عندها حجم=5.5L
حليب كانديا 0.5,"80,00",حليب كانديا,Excel بلا حجم وDeliv عندها حجم=500ml
فرماج شيزي 8,"110,00",فرماج شيزي,Excel بلا حجم وDeliv عندها حجم=8L
فرماج موندور 1.7,"710,00",فرماج موندور,Excel بلا حجم وDeliv عندها حجم=500g
طارتينو 8,"150,00",طارتينو,Excel بلا حجم وDeliv عندها حجم=8L
فرونسلي كونفور,"920,00",فرونسلي كونفور,Excel بلا حجم وDeliv عندها حجم=2L
فرونسلي كونفور 2,"1 000,00",فرونسلي كونفور,Excel بلا حجم وDeliv عندها حجم=2L
