"our_name","our_size","taiba_name","taiba_size","name_score"
"هريسة هروس 135 غ","135g","Cara Harissa 135 G","135g","0.667"
"حليب ميلكوسبراي 500 غ","500g"," Milkospray Lait 500 G","500g","1.0"
"حليب موندور 500 غ","500g","MONT D&#8217;OR Gout à L’édam 500G","500g","1.0"
"حليب لويا 500 غ","500g"," Loya Laite 500 G","500g","1.0"
"قهوة 1001 غولد 250 غ","250g","Café 1001 250 G","250g","0.667"
"قهوة فاميكو 250 غ","250g","Café Famico Exclusive 250 G","250g","1.0"
"قهوة 1001 عادي 250 غ","250g","Café 1001 250 G","250g","0.667"
"حميرة باكمايا 125 غ","125g","Pakmaya Levure 125G","125g","0.667"
"حليب ميلكوسبراي 125 غ","125g"," Milkospray Lait 125 G","125g","1.0"
"طماطم افريل 800 غ","800g"," Avril Tomate Double Concentrée 28% 800 G","800g","1.0"
"سكر 1 كغ","1kg","Sucre Roux Cristallisé 1 kg","1kg","1.0"
"ملح 1 كغ","1kg","Salis Sel De Cuisine Iodé 1KG","1kg","1.0"
"حمص ويدو 580 غ","580g","Wedo Petits Pois 580G","580g","0.667"
"فطر فيتر كامل 380 غ","380g","Extra Champignons De Paris Entiers 380 G","380g","0.75"
"محمصة عمر بن عمر 500 غ","500g","Amor Benamor Plombs 500 G","500g","1.0"
"طعام ماما رقيق 1 كغ","1kg","Mama Semoule Fine 1 KG","1kg","0.667"
"شخشوخة سنوبر 900 غ","900g","El sanoubar Chakhchoukha 900 G","900g","0.667"
"ارز بسمتي ذهبي 500 غ","500g","El Wissam Riz Sella Basmati Indien Golden 500 G","500g","1.0"
"محمصة ماما 500 غ","500g","Mama Plomb 500G","500g","1.0"
"محمصة سيم 500 غ","500g","Sim Plomb 500 G","500g","1.0"
"ارز مفور روعة 500 غ","500g","SOS Parboiled Long Grain 500 G","500g","0.667"
"ارز بسمتي كريمي 1 كغ","1kg","Wissam Rice Basmati Brown 1KG","1kg","0.667"
"ارز مفور روعة 1 كغ","1kg"," Shazia Premium Indian Basmati Rice 1 KG","1kg","0.667"
"سميد مولى رقيق 1 كغ","1kg","Mama Semoule Fine 1 KG","1kg","0.667"
"فرينة سفينة 1كغ","1kg","Safina Farine 1KG","1kg","1.0"
"سميد سفينة رقيق 1 كغ","1kg","Mama Semoule Fine 1 KG","1kg","0.667"
"سميد ماما رقيق 2 كغ","2kg","Mama Semoule Fine 2 KG","2kg","1.0"
"سميد ماما خشن 2 كغ","2kg","Mama Semoule Gros 2KG","2kg","1.0"
"شيكولة اوبتيلا 350 غ","350g","Optilla Pate A Tartiner Aux Noisettes 350 G","350g","0.667"
"شيكولة اوبتيلا 700 غ","700g","Optilla Pate A Tartiner Aux Noisettes 700 G","700g","0.667"
"كنافة محمصة 250غ","250g","Hani kunafa grillée 250g","250g","0.667"
"منظف زجاج بريلكس 750مل","750ml","Brilex Lave Viter 750 ML","750ml","0.667"
"صانيبو امير عادي1ل","1L","Amir SaniBon Senteur Lavande 1L","1L","0.667"
"صانيبو بريلكس 1ل","1L"," SaniBon Brilex Marine 1L","1L","0.667"
"مايونيز فلوريال بلاستيك 200غ","200g","Fleurial Mayonnaise Aux Oeufs Frais 200 G","200g","0.75"
"مايونيز زجاج فلوريال 200غ","200g","Fleurial Mayonnaise Aux Oeufs Frais 200 G","200g","0.75"
"مرغرين صول 250غ","250g","MARGARINE SOL 250G","250g","0.667"
"مرغرين ديما 250غ","250g","Dima Margarine 250 G ","250g","0.667"
"فرينة سيم 1كغ","1kg","SIM Farine 1KG","1kg","1.0"
"سميد ماما 1كغ","1kg","Galb Elhaba Semoule 1 KG","1kg","0.667"
"سميد مولا 1كغ","1kg","Galb Elhaba Semoule 1 KG","1kg","0.667"
"كريم شونتي 200غ","200g","Double Mix Gaufrettes Double Créme Vanille Et Noisette 200G","200g","0.667"
"عسل 500غ","500g","Buram natural honey 500g","500g","1.0"
"حمص مرحي التناج 400غ","400g","Altadj pois chiche moulu 400g","400g","0.75"
"سكر قلاصي 700غ","700g","Elmordjene sucre glace extra fin 700g","700g","0.667"
"مرغرين فلوريال 250غ","250g","MARGARINE FLEURIAL 250G","250g","0.667"
"زبدة ستار 200غ","200g","Star Beurre 200 G","200g","0.667"
"قازوز حمود 2ل","2L","Eau Gazeuse Selecto _ 2L","2L","1.0"
"قازوز حمود سليم 1ل","1L","Eau Gazeuse Slim Litchi _ 1L","1L","0.667"
"حليب صومام 1ل","1L","Dorilfor degraissant for active 1l","1L","1.0"
"حليب صومام 0.5ل","500ml","Guedila Fardeau de 12 bouteilles d&#8217;eau minérale 0.5L","500ml","1.0"
"شاربات صومام 1ل","1L","Dozili Benna Charbat Gout Grenadine 1L","1L","1.0"
"بريلكس مزيل الدهون 950مل","950ml","Brilex Degraissant Professionnel 950 ML","950ml","1.0"
"فورس اكسبرس 950مل","950ml"," Force Xpress Degraissant Professionnel 950 ML","950ml","1.0"
"مبيد الحشرات ستوب 300مل","300ml","Forcexpress anti cafards 300ml","300ml","0.75"
"مومنت شوكولاطة 90غ","90g","MOMENT Chocolat Noir 90 g","90g","0.667"
"معطر الجو فورس اكسبرس 430مل","430ml","Forcexpress désodorise mesk elil 430ml","430ml","1.0"
"فانتا 2ل","2L","Eau Gazeuse Fanta Orange 2L","2L","1.0"
"شاي الراقي 125غ","125g","E&#8217;RAKI THÉ VERT DE CHINE 125g","125g","0.667"
"فرينة سفينة 5كغ","5kg","Safina Farine 5 KG","5kg","0.667"
"معجون اسنان مسواك 25غ","25g","DABUR MISWAK TOOTHPASTE -50 g","25g,50g","0.667"
"كريم الحلاقة 75مل","75ml","ALIBI Crème à Raser 75ml","75ml","1.0"
"جافيل امير 1ل","1L"," Gel Javel AMIR 1L","1L","0.667"
"خبز اللب 500غ","500g","Hana Pain De Mie Nature Fromat Moyen 500G","500g","0.667"
"مقرون بدون غلوتين 300غ","300g","Pàtes Mermoura Cheveux D&#8217;Ange 300 G","300g","0.667"
"فرينة بدون غلوتين 3كغ","3kg","Reginat Farina Mxi Multi Usage 3KG","3kg","0.667"
"صابون لايف 10 لتر","10L","Life Gel Machine Savon de marseille 10L","10L","1.0"
