our_id,our_name,our_price,our_capacite,our_size,taiba_id,taiba_name,taiba_price,taiba_size,name_score,coverage,fuzzy,size_match,confidence,image_url,image_transparent,action,old_image,new_image,error
6a7b92cd0d97848094f62f45,تيب توب,395,32,,44401,Tip Top Fromage Au Maasdam 16 pièces,29000,,1.0,1.0,0.128,False,MEDIUM,https://i0.wp.com/www.taibaoline.com/wp-content/uploads/2025/05/Remove-bg.ai_1748119658349.png?fit=1280%2C962&ssl=1,True,WOULD_REVIEW,,,
6a7b92cd0d97848094f62f39,خردل,160,,,64525,Lesieur Moutarde De Dijon 260 G,18000,"260g,260g,260g",1.0,1.0,0.084,False,MEDIUM,https://i0.wp.com/www.taibaoline.com/wp-content/uploads/2026/08/SnapBG.ai_1786371271679.png?fit=939%2C1280&ssl=1,True,WOULD_REVIEW,,,
6a7b92cd0d97848094f62f35,زيتون,370,1 كغ,,41966,بيدون زيتون بنفسي النور 750 غ,49000,"750g,750g",1.0,1.0,0.152,False,MEDIUM,https://i0.wp.com/www.taibaoline.com/wp-content/uploads/2025/02/snapbg.ai_1739023746936.png?fit=1280%2C964&ssl=1,True,WOULD_REVIEW,,,
6a7b92cd0d97848094f62f31,فرماج موندور,300,500 غ,,26884,"MONT D&#8217;OR Cuisine et Sandwich 1,7 KG",74000,"1700g,7000g",1.0,1.0,0.128,False,MEDIUM,https://i0.wp.com/www.taibaoline.com/wp-content/uploads/2024/02/snapbg.ai_1739024556918.png?fit=1280%2C964&ssl=1,True,WOULD_REVIEW,,,
6a7b92cd0d97848094f62f2f,مايونيز,190,,,37228,Wilco sauce mayonnaise 325G,13000,"325g,325g,325g",1.0,1.0,0.143,False,MEDIUM,https://i0.wp.com/www.taibaoline.com/wp-content/uploads/2024/03/Remove-bg.ai_1711463963986.png?fit=1200%2C674&ssl=1,True,WOULD_REVIEW,,,
6a7b92cd0d97848094f62f2d,فلفل احمر مرحي,60,,,35303,تينو &#8211; فلفل أحمر مسحوق 150 غ,25000,"150g,150g",1.0,1.0,0.271,False,MEDIUM,https://i0.wp.com/www.taibaoline.com/wp-content/uploads/2024/03/Remove-bg.ai_1710011772975.png?fit=899%2C1200&ssl=1,True,WOULD_REVIEW,,,
6a7b92cd0d97848094f62f43,زيت املا,240,,,47327,Fleurial Huile Vegetale 4 L,140000,"4g,4g,4g",0.5,0.5,0.128,False,LOW,https://i0.wp.com/www.taibaoline.com/wp-content/uploads/2025/07/Remove-bg.ai_1752746406090.png?fit=600%2C600&ssl=1,True,WOULD_REVIEW,,,
6a7b92cd0d97848094f62f3f,حليب فرانس ليه,880,,,6255,حليب أوبي 1 لتر,12500,1g,0.533,0.333,0.533,False,LOW,https://i0.wp.com/www.taibaoline.com/wp-content/uploads/2023/12/leche-obei-1l-1.jpg?fit=800%2C800&ssl=1,False,WOULD_REVIEW,,,
6a7b92cd0d97848094f62f3c,كورنيطو كول,150,,,33172,Kool Biscuit Mosaique Fourré à La Créme De Cacao 220 G,13000,"220g,220g,220g",0.5,0.5,0.048,False,LOW,https://i0.wp.com/www.taibaoline.com/wp-content/uploads/2024/03/Remove-bg.ai_1709580287688.png?fit=675%2C1198&ssl=1,True,WOULD_REVIEW,,,
6a7b92cd0d97848094f62f3b,اسكيمو مومنت,150,,,35975,Moment Chocolat Lait Et Amandes Entières 145 G,44000,"145g,145g,145g",0.5,0.5,0.077,False,LOW,https://i0.wp.com/www.taibaoline.com/wp-content/uploads/2024/03/Untitled2_20240315205605.png?fit=809%2C1080&ssl=1,False,WOULD_REVIEW,,,
6a7b92cd0d97848094f62f3a,ديول قرطازج,100,,,26368,Meriem Diouls 10 Feuilles,7500,,0.5,0.5,0.138,False,LOW,https://i0.wp.com/www.taibaoline.com/wp-content/uploads/2024/02/Remove-bg.ai_1738495196177-768x1020-2.png?fit=813%2C1080&ssl=1,True,WOULD_REVIEW,,,
6a7b92cd0d97848094f62f34,جي دايلي,90,1 لتر,,18318,Daily Sauce ketchup 560g,30000,"560g,560g,560g",0.5,0.5,0.143,False,LOW,https://i0.wp.com/www.taibaoline.com/wp-content/uploads/2024/02/Remove-bg.ai_1707631251195.png?fit=675%2C1198&ssl=1,True,WOULD_REVIEW,,,
6a7b92cd0d97848094f62f30,كوتكس بيضاء,75,,,37781,Wedo Haricots Blancs 580G,22000,"580g,580g,580g",0.5,0.5,0.135,False,LOW,https://i0.wp.com/www.taibaoline.com/wp-content/uploads/2024/04/Remove-bg.ai_1713170675493.png?fit=1280%2C719&ssl=1,True,WOULD_REVIEW,,,
6a7b92cd0d97848094f62f2e,درسة حميس,110,,,41917,El Baraka Hmiss 170G,13000,"170g,170g,170g",0.5,0.5,0.194,False,LOW,https://i0.wp.com/www.taibaoline.com/wp-content/uploads/2025/02/Remove-bg.ai_1748251209428.png?fit=1280%2C962&ssl=1,True,WOULD_REVIEW,,,
