"our_id","our_name","old_image","action"
"6a7b92cd0d97848094f62f22","افري1 لتر","https://api.delivap.com/uploads/1786563545408-75112a86-1386-4927-90e0-5de871481f6f.webp","UPDATED"
"6a7b92cd0d97848094f62ee3","مقرون بدون غلوتين","https://api.delivap.com/uploads/1786563548186-4281aac9-30ad-47a2-a31d-42be47548ef8.webp","UPDATED"
"6a7b92cd0d97848094f62ea4","صابون سائل دوز","","UPDATED"
"6a7b92cd0d97848094f62e64","معجون اسنان سيقادونت","","UPDATED"
"6a7b92cd0d97848094f62e5c","قازوز اروى رمان","https://api.delivap.com/uploads/1786563573402-e70d23cd-6010-47f4-9ae7-0155d2b53f01.webp","UPDATED"
"6a7b92cd0d97848094f62e0b","معطر الجو لايف","","UPDATED"
"6a7b92cd0d97848094f62e07","صابون سائل امير","","UPDATED"
"6a7b92cd0d97848094f62da5","حليب صومام","https://api.delivap.com/uploads/1786563599502-cda9721a-66a8-4ef2-93b0-fc903699e99b.webp","UPDATED"
"6a7b92cd0d97848094f62da4","حليب صومام","https://api.delivap.com/uploads/1786563601933-625918de-9877-4569-8f09-c308c66615c1.webp","UPDATED"
"6a7b92cd0d97848094f62da1","جي افروي كرطونة","https://api.delivap.com/uploads/1786563607773-76d80c28-59d0-4e86-946f-60eb8004d379.webp","UPDATED"
"6a7b92cd0d97848094f62d69","عصير رامي كرطونة","https://api.delivap.com/uploads/1786563641669-48836bce-4d93-46e4-b232-622053060464.webp","UPDATED"
"6a7b92cd0d97848094f62d1d","سائل اواني لايف","","UPDATED"
"6a7b92cd0d97848094f62d1b","سائل اواني بريل","","UPDATED"
"6a7b92cd0d97848094f62d18","سائل اواني لايف","","UPDATED"
"6a7b92cd0d97848094f62d09","صانيبو بريلكس لافصول","","UPDATED"
"6a7b92cd0d97848094f62d04","سائل اواني اقل","","UPDATED"
"6a7b92cd0d97848094f62cff","منظف زجاج بريلكس","","UPDATED"
"6a7b92cd0d97848094f62c4b","ارز بسمتي روعة","https://api.delivap.com/uploads/1786563722322-a7176572-a51c-403f-a587-139cf075826c.webp","UPDATED"
"6a7b92cd0d97848094f62c29","ارز بسمتس الوسام","https://api.delivap.com/uploads/1786563734033-a9b1d844-30a6-4766-9aed-ecf8642079f8.webp","UPDATED"
"6a7b92cd0d97848094f62c0b","طماطم سيم 28 %","https://api.delivap.com/uploads/1786563745534-c9ac1980-fbb1-4a4c-b3bb-8053c84f9214.webp","UPDATED"
