"our_id","our_name","old_image","action"
"6a7b92cd0d97848094f62f31","فرماج موندور","https://api.delivap.com/uploads/1786563543173-b2a36987-7af1-4c94-8f67-79898f6ec355.webp","UPDATED"
"6a7b92cd0d97848094f62f22","افري1 لتر","https://api.delivap.com/uploads/1786563545408-75112a86-1386-4927-90e0-5de871481f6f.webp","UPDATED"
"6a7b92cd0d97848094f62ee7","فرينة بدون غلوتين","","UPDATED"
"6a7b92cd0d97848094f62ee3","مقرون بدون غلوتين","https://api.delivap.com/uploads/1786563548186-4281aac9-30ad-47a2-a31d-42be47548ef8.webp","UPDATED"
"6a7b92cd0d97848094f62ed0","كامبير سيدي سعادة","https://api.delivap.com/uploads/1786563550975-5e43a8ef-9a81-4e0c-9c09-6e3260053354.webp","UPDATED"
"6a7b92cd0d97848094f62ea4","صابون سائل دوز","","UPDATED"
"6a7b92cd0d97848094f62e96","حليب كانديا","https://api.delivap.com/uploads/1786563553380-a81a7700-5386-4781-b44b-eb82d4b54096.webp","UPDATED"
"6a7b92cd0d97848094f62e8b","كوكا","https://api.delivap.com/uploads/1786563555837-5c527737-9e6c-4af6-90cc-54c456b2cf9b.webp","UPDATED"
"6a7b92cd0d97848094f62e81","خبز اللب","https://api.delivap.com/uploads/1786563559168-b4f3305b-8393-4f85-b6a9-09067a058b17.webp","UPDATED"
"6a7b92cd0d97848094f62e74","جافيل امير","","UPDATED"
"6a7b92cd0d97848094f62e6e","جي رامي","https://api.delivap.com/uploads/1786563562623-df17eea7-1369-48d9-a0f4-1f9037ee89eb.webp","UPDATED"
"6a7b92cd0d97848094f62e6c","انسبيراسيو","","UPDATED"
"6a7b92cd0d97848094f62e6b","جي تشينا","https://api.delivap.com/uploads/1786563564648-2adba29f-69b8-49cb-bb72-5cb3f1b53d49.webp","UPDATED"
"6a7b92cd0d97848094f62e69","ملوخية","https://api.delivap.com/uploads/1786563570304-7c928dc8-11ca-4cfc-8ee5-d5a6f1ab5b78.webp","UPDATED"
"6a7b92cd0d97848094f62e64","معجون اسنان سيقادونت","","UPDATED"
"6a7b92cd0d97848094f62e60","كريم الحلاقة","","UPDATED"
"6a7b92cd0d97848094f62e5d","معجون اسنان مسواك","","UPDATED"
