"our_id","our_name","old_image","new_confidence","new_flag","new_match"
"6a7b92cd0d97848094f62f22","افري1 لتر","https://api.delivap.com/uploads/1786563545408-75112a86-1386-4927-90e0-5de871481f6f.webp","HIGH","COMMON_ONLY","حليب أوبي 1 لتر"
"6a7b92cd0d97848094f62ee3","مقرون بدون غلوتين","https://api.delivap.com/uploads/1786563548186-4281aac9-30ad-47a2-a31d-42be47548ef8.webp","MEDIUM",""," El Mordjene Levure Chimique 300 G"
"6a7b92cd0d97848094f62ea4","صابون سائل دوز","","LOW","COMMON_ONLY","Dorilflor Detergent pour savon de marseille 5L"
"6a7b92cd0d97848094f62e64","معجون اسنان سيقادونت","","MEDIUM","","Extra Dentifrice Girofle &#038; Menthe 100 G"
"6a7b92cd0d97848094f62e5c","قازوز اروى رمان","https://api.delivap.com/uploads/1786563573402-e70d23cd-6010-47f4-9ae7-0155d2b53f01.webp","MEDIUM","DUP_SOURCE","Jus Ramy Milky Grenadine 1L"
"6a7b92cd0d97848094f62e0b","معطر الجو لايف","","LOW","COMMON_ONLY+DUP_SOURCE","Atack plus meuble 500ml"
"6a7b92cd0d97848094f62e07","صابون سائل امير","","LOW","COMMON_ONLY","Brilex Savon Liquide Musk 400 ML"
"6a7b92cd0d97848094f62da5","حليب صومام","https://api.delivap.com/uploads/1786563599502-cda9721a-66a8-4ef2-93b0-fc903699e99b.webp","LOW","DUP_SOURCE","Soummam Lait 500 ML"
"6a7b92cd0d97848094f62da4","حليب صومام","https://api.delivap.com/uploads/1786563601933-625918de-9877-4569-8f09-c308c66615c1.webp","MEDIUM","DUP_SOURCE","حليب أوبي 1 لتر"
"6a7b92cd0d97848094f62da1","جي افروي كرطونة","https://api.delivap.com/uploads/1786563607773-76d80c28-59d0-4e86-946f-60eb8004d379.webp","MEDIUM","","Ifruit Jus 100% Pomme 1L"
"6a7b92cd0d97848094f62d69","عصير رامي كرطونة","https://api.delivap.com/uploads/1786563641669-48836bce-4d93-46e4-b232-622053060464.webp","MEDIUM","DUP_SOURCE","Jus Ramy Milky Grenadine 1L"
"6a7b92cd0d97848094f62d1d","سائل اواني لايف","","MEDIUM","","life Liquide Vaisselle Citron 650 ML"
"6a7b92cd0d97848094f62d1b","سائل اواني بريل","","MEDIUM","","Pril ISIS Liquide Vaisselle 650 ML"
"6a7b92cd0d97848094f62d18","سائل اواني لايف","","MEDIUM","","life Liquide Vaisselle Citron 1,25 L"
"6a7b92cd0d97848094f62d09","صانيبو بريلكس لافصول","","HIGH","DUP_SOURCE"," SaniBon Brilex Marine 1L"
"6a7b92cd0d97848094f62d04","سائل اواني اقل","","MEDIUM","","Aigle Liquide Vaisselle Citron 650 ML"
"6a7b92cd0d97848094f62cff","منظف زجاج بريلكس","","MEDIUM","","Brilex Lave Viter 750 ML"
"6a7b92cd0d97848094f62c4b","ارز بسمتي روعة","https://api.delivap.com/uploads/1786563722322-a7176572-a51c-403f-a587-139cf075826c.webp","HIGH","DUP_SOURCE","El Wissam Riz Sella Basmati Indien Golden 500 G"
"6a7b92cd0d97848094f62c29","ارز بسمتس الوسام","https://api.delivap.com/uploads/1786563734033-a9b1d844-30a6-4766-9aed-ecf8642079f8.webp","HIGH","DUP_SOURCE","El Wissam Riz Sella Basmati Indien Golden 500 G"
"6a7b92cd0d97848094f62c0b","طماطم سيم 28 %","https://api.delivap.com/uploads/1786563745534-c9ac1980-fbb1-4a4c-b3bb-8053c84f9214.webp","HIGH","DUP_SOURCE"," Avril Tomate Double Concentrée 28% 800 G"
